t_ns,wall_s,substeps,dt_ps,limiter,Va_kV,ne_max,nip_max,E_max_kVcm,z_head_mm,N_OP,N_O3,N_NO,F_init
0,0,0,0,-,0,0,1e+09,0,nan,0,0,0,0
1.36388,0.0442133,6,113.884,ionization,11.0601,4.37358e+11,1.07083e+09,45.8499,nan,2557.37,0.0521686,0.00495887,0.0228281
5.1868,15.0718,1968,0.716003,dielectric,25.4252,6.33713e+20,6.53867e+20,134.382,7.375,4.34573e+10,2.26544e+06,7.2583e+08,1
6.61043,30.088,4140,0.744044,dielectric,27.5449,7.59052e+20,8.14372e+20,150.485,5.25,6.38184e+11,2.34824e+07,8.14592e+09,1
7.6097,45.0921,6492,0.313708,dielectric,28.5022,1.78625e+21,1.94556e+21,167.031,3,5.04378e+12,1.87247e+08,5.61872e+10,1
8.06551,53.4298,7806,0.397748,dielectric,28.8311,1.44484e+21,1.79395e+21,168.061,0,9.97281e+12,4.38383e+08,1.20234e+11,1
